title,property_type,sale_type,price,city,area,description,status,bedrooms,bathrooms,land_size,building_age,floor_number,floors_in_buildingtitle,property_type,sale_type,price,city,area,description,status,bedrooms,bathrooms,land_size,building_age,floor_number,floors_in_buildingtitle,property_type,sale_type,price,city,area,description,status,bedrooms,bathrooms,land_size,building_age,floor_number,floors_in_building

"Luxury Beachfront Villa in Bellapais","Villa","For Sale",850000,"Bellapais","Kyrenia","Stunning 4-bedroom villa with panoramic sea views and private beach access in the historic village of Bellapais","Available",4,3,1200,5,1,2

"Modern Apartment in Amsterdam Canal District","Apartment","For Rent",2800,"Amsterdam","Canal Ring","Beautifully renovated 2-bedroom apartment overlooking the famous canals of Amsterdam","Available",2,1,85,150,3,4"Beautiful Family Home","House","For Sale",450000,"New York","Manhattan","Spacious 3-bedroom house with modern amenities","Available",3,2,2500,10,2,3"Modern Villa with Pool","Villa","For Sale",450000,"Kyrenia","Alsancak","Beautiful modern villa with swimming pool and garden","Available","4","3",1200,5,1,2

"Seaside Penthouse in Famagusta","Penthouse","For Sale",650000,"Famagusta","Salamis","Exclusive penthouse with 360-degree sea views and rooftop terrace in historic Famagusta","Available",3,2,150,8,5,5

"Family Home in Utrecht Suburbs","Family Home","For Sale",425000,"Utrecht","Leidsche Rijn","Spacious family home with garden in quiet residential area, perfect for families","Available",4,2,350,12,1,2"Downtown Apartment","Apartment","For Rent",2500,"Los Angeles","Downtown","Modern apartment in the heart of the city","Available",2,1,800,5,15,25"City Center Apartment","Apartment","For Rent",1200,"Famagusta","City Center","Furnished apartment in the heart of the city","Available","2","1",,15,3,5

"Beachfront Bungalow in Kyrenia","Bungalow","For Daily Rental",120,"Kyrenia","Alsancak","Charming beachfront bungalow with direct beach access and mountain views","Available",2,1,200,10,1,1

"Historic Townhouse in The Hague","Townhouse","For Sale",575000,"The Hague","Centrum","Elegant 19th-century townhouse in the heart of The Hague, fully renovated","Available",3,2,125,180,2,3"Luxury Villa","Villa","For Sale",1200000,"Miami","South Beach","Stunning villa with ocean views","Available",5,4,5000,2,1,2"Commercial Office Space","Office","For Sale",250000,"Nicosia","Business District","Prime location office space with parking","Available",,2,350,10,2,8

"Mountain Retreat Villa in Lefkoşa","Villa","For Rent",1500,"Lefkoşa","Gönyeli","Peaceful villa nestled in the Kyrenia mountains with olive groves and citrus trees","Available",3,2,800,15,1,2

"Waterfront Loft in Rotterdam","Loft","For Sale",395000,"Rotterdam","Kop van Zuid","Industrial-style loft with harbor views in trendy Kop van Zuid district","Available",2,1,110,25,4,6"Cozy Studio","Studio","For Daily Rental",150,"Chicago","Loop","Perfect for business travelers","Available",1,1,400,8,10,15"Beachfront Villa","Villa","For Sale",850000,"Kyrenia","Bellapais","Luxury villa with sea views and private beach access","Available","5","4",2500,2,1,3

"Traditional Stone House in Lapta","Family Home","For Sale",320000,"Lapta","Lapta Village","Authentic Cypriot stone house with traditional architecture and modern amenities","Available",3,2,450,80,1,2

"Canal House in Leiden","Family Home","For Sale",485000,"Leiden","Historic Center","Classic Dutch canal house with original features and modern updates","Available",3,2,140,250,3,4"Office Space","Commercial","For Sale",800000,"San Francisco","SOMA","Prime commercial location","Available",,,3000,15,5,10"Student Apartment","Apartment","For Rent",600,"Famagusta","Near University","Perfect for students, close to Eastern Mediterranean University","Available","1","1",,25,4,6
"Luxury Resort Villa in Esentepe","Villa","For Daily Rental",200,"Esentepe","Korineum","Exclusive villa within luxury resort complex with golf course and spa access","Available",4,3,300,3,1,2
"Modern Studio in Eindhoven","Apartment","For Rent",950,"Eindhoven","Strijp-S","Contemporary studio in the vibrant Strijp-S creative district","Available",1,1,45,8,2,5
"Seaside Apartment in Girne","Apartment","For Sale",285000,"Girne","Karaoğlanoğlu","Bright apartment with sea views and communal pool, walking distance to beach","Available",2,2,95,12,3,4
"Country Estate in Groningen","Villa","For Sale",750000,"Groningen","Haren","Magnificent country estate with gardens, stables, and historical significance","Available",6,4,2500,120,2,3
"Olive Grove Farmhouse in Alsancak","Family Home","For Sale",420000,"Alsancak","Karavas","Traditional farmhouse surrounded by olive groves with stunning mountain views","Available",4,3,1500,60,1,2
"Urban Penthouse in Tilburg","Penthouse","For Rent",2200,"Tilburg","City Center","Modern penthouse with rooftop terrace in the heart of Tilburg","Available",3,2,120,5,8,8
"Beachfront Twin Villa in Çatalköy","Twin Villa","For Sale",495000,"Çatalköy","Alagadi","One half of an elegant twin villa complex with shared amenities and beach access","Available",3,2,250,7,1,2
"Historic Apartment in Maastricht","Apartment","For Sale",365000,"Maastricht","Wyck District","Charming apartment in historic building with original ceiling beams","Available",2,1,80,180,2,3
"Hilltop Villa in Bellapais","Villa","For Sale",680000,"Bellapais","Bellapais Village","Spectacular villa with panoramic views of Kyrenia coast and Bellapais Abbey","Available",4,3,600,10,1,2
"Waterside Townhouse in Haarlem","Townhouse","For Rent",2400,"Haarlem","Riverfront","Beautiful townhouse along the Spaarne river with private mooring","Available",3,2,110,95,2,3
"Mediterranean Villa in Girne","Villa","For Sale",580000,"Girne","Karmi","Elegant Mediterranean-style villa with infinity pool and mountain backdrop","Available",4,3,450,8,1,2
